,2019q2,2018q4,2019q3,2019q4
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,2000.0,182045.0,60000.0,125000.0
StockIssuedForPaymentInterest,0.0,3022.0,,
IncreaseDecreaseInAccruedExpensesRelatedParties,-26008.0,-3758.0,20750.0,-3758.0
ImputedInterest,-14004.0,0.0,-27861.0,-31286.0
ShareBasedCompensationPreferredStock,0.0,,,
EquipmentTransferredToCostOfGoodsSold,-12000.0,,-26000.0,365000.0
CommonStockIssuedCancelledForServices,23000.0,82000.0,98000.0,55000.0
AmortizationOfAboveAndBelowMarketLeases,9000.0,28000.0,17000.0,
DeferredInterestExpenseAndPrincipalRelatedToDebtRestructuring,0.0,5200000.0,0.0,0.0
ShareBasedCompensationWarrants,336835.0,,0.0,
AmortizationOfRightofUseAssets,138000.0,,,
LossOnConversionOfNotesPayable,871973.0,76929.0,,
InterestExpenseOther,441.0,46642.0,119000.0,4533.0
InterestCostsIncurred,187500.0,,379688.0,
GainOnSettlementOfDebt,-121475.0,,,
GainLossOnImpairmentAndDispositionOfAssets,-6692000.0,,,
AmortizationOfBeneficialConversionFeatureAndLoanFees,13959.0,,34830.0,73397.0
SettlementOfPayableWithShares,95181.0,,,
ProvisionForBadDebts,16000.0,-3000.0,-4000.0,2000.0
UnrealizedGainLossOnOtherInvestments,292720.0,,120700.0,570679.0
NoncashCompensationExpense,0.0,,-153413.0,0.0
ProvisionForOtherCreditLosses,354711000.0,29000.0,120000.0,113000.0
GainLossOnWriteOffOfOptionPayable,116000.0,,,
FairValueOptionChangesInFairValueGainLoss1,192419.0,,,
WarrantsIssuedForLegalSettlement,-2271627.0,,,
GainLossOnSaleOfLocalLimitedPartnership,138284.0,,,
EmployeeBenefitsAndShareBasedCompensationNoncash,4000.0,8000.0,1000.0,4000.0
AdjustmentsForDepreciationExpense,295.0,,,
AdjustmentsForFairValueGainsLosses,3205000.0,,,
ExpenseRelatedToModificationOfWarrantsExchangeOfWarrantsForSeriesCPreferredAndCommonStock,25800.0,,,
RevenueFromRenderingOfServices,21896.0,,15000.0,
InvestmentIncomeAmortizationOfPremium,2000.0,-51000.0,-9000.0,-209000.0
InterestExpense,1780685.0,468809.0,-512186.0,5396000.0
Depreciation,13220.0,60393.0,38734.0,168655.0
ConversionOfInterest,68043.0,68043.0,64233.0,64233.0
CommonStockIssuedForServices,280071363.0,373431.0,186519.0,432114.0
ProvisionForSlowMovingAndObsoleteInventory,-134000.0,14000.0,41000.0,63000.0
AccretionExpenseIncludingAssetRetirementObligations,-29925.0,,284.0,4611.0
ResultsOfOperationsDepreciationDepletionAmortizationAndAccretion,185230.0,849430.0,,
IssuanceAndVestingOfCompensatoryStockOptionsAndWarrants,316260.0,426837.0,101961.0,142726.0
EquityCompensationExpense,13590.0,221808.0,87033.0,87033.0
WarrantsAndOptionsIssuedCancelledForServices,10000.0,33000.0,19000.0,94000.0
NetIncomelossCashFlow,473000.0,,,
IncreaseDecreaseInAccruedInterestShareholders,4581.0,10199.0,9379.0,14361.0
InventoryImpairment,0.0,,,
NoncashLeaseExpense,0.0,,-199000.0,-252000.0
SharesIssuedForLegalSettlement,-69498.0,,,
CommonStockIssuedToEmployeeValue,0.0,,,
AccretionAmortizationOfDiscountsAndPremiumsInvestments,-162554.0,356711.0,-75000.0,-130000.0
AmortizationOfDeferredLoanOriginationFeesNet,-3312.0,,-6624.0,-9875.0
InvestmentWriteDown,0.0,,,
EquityFairValueAdjustment,10000.0,-240000.0,-170000.0,-80000.0
ImpairmentOfIntangibleAssetsExcludingGoodwill,471083.0,2314000.0,,471083.0
GainOnDiscontinuanceOfTradingPlatform,7158.0,,7158.0,
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,26000.0,16597.0,1595706.0,1757000.0
DerecognitionOfAccountsPayable,0.0,,,
FairValueOfCommonStockGrantedForServices,391100.0,,,
AdjustmentsForGainLossOnDisposalsPropertyPlantAndEquipment,-1351000.0,,,
LossOnDeposit,-110000.0,,,
ExpenseFromSharebasedPaymentTransactionsWithEmployees,60000.0,,60000.0,60000.0
ProceedsOfLoansFromShareholderAndOfficers,30900.0,,,
GainOrLossOnSaleOfStockInSubsidiary,-15000.0,,299255.0,0.0
GainOnSaleOfInvestments,212000.0,212000.0,0.0,0.0
InterestExpenseDeferredAndCapitalizedInRestructuring,7083000.0,,,
GainLossOnSaleOfOilAndGasProperty,3831837.0,1173193.0,0.0,0.0
StockIssuedDuringPeriodValueEmployeeBenefitPlan,0.0,0.0,109073.0,145090.0
StockIssuedForPaymentInterestOnNotesPayable,3022.0,3022.0,,
LossOnDebtDefaultProvisions,0.0,,,0.0
AvailableForSaleSecuritiesGrossRealizedGainLossNet,240000.0,-56000.0,3000.0,0.0
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,759603.0,777149.0,452009.0,608040.0
DepreciationDepletionAndAmortization,80700.0,125.0,429000.0,1261000.0
GainsLossesOnRestructuringOfDebt,114757.0,-1724.0,0.0,0.0
FlowThroughFinancingCosts,4000.0,,,
TaxAdjustmentsSettlementsAndUnusualProvisions,-145000.0,,0.0,
ReserveOnWorkersCompensationRiskPoolDepositInReceivership,1540000.0,1540000.0,0.0,
RecognitionOfVestingStockOptionExpense,0.0,17278.0,,
CapitalLeasesIncomeStatementDirectFinancingLeaseRevenue,445879.0,,,
GainLossOnSalesOfLoansNet,22602.0,265035.0,161899.0,265035.0
DeferredRentLiabilityNet,279795.0,,,
DebtInstrumentConvertibleGainLoss,-1771650.0,,,
DebtorReorganizationItemsGainLossOnSettlementOfOtherClaimsNet1,122500.0,,,
CommonStockPayableForDirectorsFees,43750.0,131250.0,87500.0,131250.0
GainsLossesOnSalesOfOtherRealEstate,6000.0,0.0,-267734.0,17000.0
SettlementOfAssetRetirementObligationsThroughNoncashPaymentsAmount,-147122.0,,0.0,0.0
FairValueOfSeriesBPreferredStockGrantedForServices,4250000.0,,,
DerivativeGainOnDerivative,67989.0,11007215.0,80779.0,-8643561.0
InducedConversionCosts,0.0,0.0,0.0,0.0
WriteOffOfMortgageCost,0.0,,68195.0,0.0
PromissoryNoteIssuedForConsulting,0.0,,0.0,
DebtInstrumentDecreaseForgiveness,,0.0,,
InterestExpenseDepositsFromOtherFederalHomeLoanBanks,-117370.0,,0.0,0.0
CommonStockIssuedAsIncentiveWithConvertibleDebt,0.0,0.0,,
UnrealizedGainLossOnDerivatives,0.0,0.0,,
IssuanceOfStockForDebtFinancing,0.0,,,
SharesIssuedForSettlementOfClinicalResearchCosts,1290000.0,,2957400.0,
GainOnSaleOfLoansHeldForSale,753000.0,1876000.0,1105000.0,
StockOptionsIssuedForService,-3176786.0,,,
LossOnSaleAndAbandonmentOfProperties,0.0,,822290.0,
DeferredRentLiability,-33117.0,18000.0,0.0,-18219.0
EquitySecuritiesFairValueNetUnrealizedGainLoss,-172000.0,22000.0,-96000.0,20000.0
AccruedInterestOnHeldToMaturityInvestments,-13000.0,,-33000.0,
ValueOfEquityIssuedForServices,30000.0,38100.0,37500.0,37500.0
AmortizationOfWarrantFeatureOfNotePayable,0.0,,,
StockIssuedDuringPeriodValueStockOptionsExercisedNetOfTaxBenefitExpense,0.0,,,
AdjustmentsForAmortisationExpense,349674000.0,12026.0,-4010.0,12026.0
AdjustmentsForInterestExpense,10365.0,,,39215.0
OtherOperatingActivitiesCashFlowStatement,264000.0,-81000.0,173000.0,-6000.0
CommonStockIssuedForClosingCosts,900.0,,7350.0,
NoteAllonges,0.0,,0.0,
AmortizationOfOperatingLease,38666.0,,-3471.0,0.0
ImpairmentOfIntangibleAssetsFinitelived,0.0,556120.0,0.0,0.0
DepreciationAndAmortization,333000.0,145760.0,521013.0,
ReserveForNoteReceivable,500000.0,,,
GainFromDebtSettlement,0.0,,,
CommonStockIssuedForLoanFees,63284.0,51974.0,,7500.0
DepreciationAmortizationAndAccretionNet,16475.0,4858.0,289000.0,736352.0
FinancingCosts,0.0,510064.0,,
NetChangeInterestAndNoninterestBearingDepositsDomestic,0.0,0.0,,
AllocatedShareBasedCompensationExpense,279397.0,277000.0,529332.0,199000.0
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease,-140000.0,0.0,-521000.0,-166000.0
ChangeInFairValueOfNotesPayable,-66000.0,-113000.0,,28000.0
LoansHeldForSaleOriginated,-21602000.0,-30048000.0,-21813000.0,-91519000.0
CostMethodInvestmentsRealizedGainLoss,0.0,,,
ForeignExchangeGainLoss,181473.0,24884.0,18939.0,-25702.0
StockIssuedDuringPeriodValueRestrictedStockAwardGross,0.0,,,
ChangesInInventoryReserve,159000.0,-765000.0,-700000.0,765000.0
ProvisionForDoubtfulAccountsAndCommissionAdjustments,460000.0,240000.0,168000.0,240000.0
DeferredGain,8025.0,24072.0,16048.0,24072.0
RestrictedStockGrantedToEmployeesdirectors,487302.0,0.0,493454.0,457686.0
IssuanceOfRestrictedStockForServicesOrClaims,60000.0,360771.0,90000.0,360771.0
IncreaseDecreaseInEquipmentFinancingReceivables,-94000.0,93000.0,-206000.0,-342000.0
AdjustmentsForIncreaseDecreaseInTradeAccountPayableAndReceivable,0.0,,,
ChangeInFairValueOfWarrants,6487000.0,,,
ValuationAllowanceOfBolivianTaxCredits,0.0,,,
AvailableforsaleSecuritiesGrossRealizedGainLossExcludingOtherThanTemporaryImpairments,0.0,,-27553.0,
FinanceLeaseRightOfUseAssetAmortization,0.0,,35333.0,55726.0
AdjustmentOfWarrantsGrantedForServices,0.0,0.0,,
ProceedsFromSaleOfInterestInPartnershipUnit,107874.0,0.0,,
GainOnSaleOfLand,0.0,,,
ReserveForBadDebts,200000.0,,,
ImpairmentWritedownOnAssetsHeldForSale,-150000.0,,,
IssuanceCostRelatedToDebtFinancing,0.0,,,
OriginalIssueDiscountsOnPromissoryNotes,0.0,,0.0,
FinanceLeaseInterestPaymentOnLiability,0.0,,16000.0,
ProceedsFromAdvancesForConstruction,78465.0,,,
ImpairmentLossRecognisedInProfitOrLoss,4181.0,,,
OperatingLeaseExpense,180000.0,,0.0,0.0
LifeSettlementContractsFairValueMethodUnrealizedGainLoss,-7888733.0,-5466766.0,39414497.0,
ForeignCurrencyTransactionGainLossBeforeTax,595910.0,-3628.0,50233.0,-15213.0
OtherNonoperatingIncomeExpense,-32000.0,,,
RestrictedStockExpense,409871.0,426287.0,34000.0,201000.0
ProvisionForLoanLeaseAndOtherLosses,1450000.0,-218000.0,77000.0,677000.0
StockOptionPlanExpense,632000.0,222493.0,1369295.0,71625.0
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,0.0,119000.0,71620.0,0.0
EmbeddedDerivativeGainLossOnEmbeddedDerivativeNet,-470000.0,0.0,,
UnrealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,0.0,0.0,,2000.0
UnrealizedGainLossOnForeignCurrencyDerivativesNetBeforeTax,0.0,,,
IncreaseDecreaseInFinanceReceivables,-1147.0,-3490.0,-2319.0,
StockBasedCompensationRelatedParties,102364.0,,,102364.0
ProceedsFromLoans,0.0,0.0,0.0,500000.0
AdjustmentsForIncomeTaxExpense,0.0,,,
AmortizationOfFinancingCostsAndDiscounts,2767361.0,490000.0,122932.0,17534.0
IncomeLossFromEquityMethodInvestments,-70000.0,0.0,0.0,0.0
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,30914074.0,-1020000.0,,253700.0
AdjustmentsForDecreaseIncreaseInOtherOperatingReceivables,-11017014000.0,,,
InterestAndFeeIncomeLoansLeaseFinancing,2361.0,,,
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationGainLossIncludedInEarnings,0.0,,-4068500.0,-5538000.0
ImpairmentExpense,-474357.0,-139891.0,,
RestrictedStockGrantedToConsultants,360771.0,,,
ChangeInFairValueOfSellersNote,-396163.0,28990.0,-396163.0,
GainlossOnExtinguishmentOfDebt,0.0,90042.0,,
IncreaseDecreaseInInventoriesAndOtherOperatingAssets,-97683.0,-262886.0,-216846.0,
ChangeInFairValueDerivativeLiability,1206857.0,72065.0,,
AccruedInterestExpenseNetOfInterestIncome,148000.0,51000.0,-9000.0,-10000.0
AdjustmentsForUnrealisedForeignExchangeLossesGains,58346.0,5671.0,-40723.0,-10150.0
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,-712000.0,-788000.0,977732.0,977732.0
GainOnPlantAcquisition,-1500000.0,,,
GainLossOnLlc,128183.0,429786.0,270786.0,482185.0
ChangeInFairValueOfWarrants1,192419.0,14297.0,,
InventoryWriteDown,127297.0,-2000.0,67124.0,112000.0
EmployeeBenefitsAndShareBasedCompensation,296944.0,161279.0,289500.0,935000.0
AmortizationOfFinancingCosts,3353.0,284406.0,407000.0,37988.0
OperatingExpensesSettledThroughDebtProceeds,0.0,,,
AdjustmentsForInterestIncome,1623309000.0,,,
AssetRetirementObligationAccretionExpense,117636.0,2362.0,265000.0,61000.0
IncreaseDecreaseInCommissionsPayable,-16796.0,15987.0,,
AdjustmentsForRecoveryOfPromissoryNotesReceivable,152000.0,,,
DefaultPenaltiesIncurredInConnectionWithSeniorSecuredCreditFacility,0.0,,,
ExtinguishmentOfDebtGainLossNetOfTax,-5108977.0,4771511.0,-6519467.0,-6519467.0
IncreaseDecreaseInAccruedInterestPayableNet,0.0,280975.0,306695.0,280975.0
AcquisitionCosts,0.0,,494400.0,53057.0
AdjustmentForDerivateExpense,1595079.0,1043090.0,,
CapitalizedLeaseInterest,64432.0,-168037.0,95742.0,-168037.0
GainsLossesOnSettlementOfDebt,257801.0,,-3007629.0,-3004629.0
WarrantsIssuedToConsultants,0.0,,,
IncreaseDecreaseInDeferredRentExpense,0.0,7000.0,0.0,
DeferredRent,58234.0,22828.0,81475.0,
MarketableSecuritiesRealizedGainLoss,0.0,0.0,,
OtherNoncashIncome,657.0,,,-880553.0
IncreaseDecreaseInReserveForCommissionsExpenseAndTaxes,-204746.0,95668.0,,
ProceedsFromPaymentsForLongTermLoansForRelatedParties,49900.0,41100.0,30450.0,73865.0
IncreaseDecreaseInFairValueAdjustmentsOnAssetsAndLiabilitiesCarriedAtFairValueUnderFairValueOption,975430.0,-7141543.0,,
ProceedsFromFeesReceived,2689.0,,,
ImpairmentOfAvailableForSaleSecurities,0.0,,,
AmortizationOfPremiumOnMarketableSecurities,91511.0,158209.0,79878.0,-1778.0
IssuanceOfWarrants,0.0,,,
ProceedsFromSaleOfMortgageLoansHeldForSale,6098000.0,27209000.0,55011000.0,27209000.0
DeferredPolicyAcquisitionCostAmortizationExpenseNetInvestmentGainsLosses,0.0,,,
FeesAndInterestOnConvertiblePromissoryNotes,186128.0,,186128.0,
IssuanceOfStockAndWarrantsForServicesOrClaims,181500.0,605500.0,0.0,-19915.0
NetIncomeLoss,6209.0,-586366.0,-25000.0,-313737.0
NetIncomeLossAttributableToNoncontrollingInterest,-73000.0,,0.0,-900000.0
PaymentsForOriginationOfMortgageLoansHeldForSale,5779000.0,46173000.0,20201000.0,28092000.0
AmortizationOfIntangibleAssets,0.0,395690.0,86666.0,345000.0
WarrantExpense,0.0,0.0,,
AccretedInterestOnConvertibleDebt,24658.0,96558.0,74521.0,124932.0
IncreaseDecreaseInReceivablesOtherLPs,-12075.0,,,
ImpairmentOfOilAndGasProperties,9896807.0,0.0,1733932.0,3397281.0
IncreaseDecreaseInPrepaidRent,-33000.0,-88000.0,53000.0,180000.0
DeferredPolicyAcquisitionCostsAmortizationExpenseAccruedInterest,0.0,,,
ProceedsFromLimitedPartnershipInvestments,0.0,,,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsDisposalGroupIncludingDiscontinuedOperations,0.0,0.0,-1572.0,-9799.0
ProceedsFromSaleOfLoansHeldForSale,2153059.0,11163180.0,1522404.0,8702602.0
GainLossOnExchange,-1020000.0,979857.0,,
AdjustmentsForFinanceIncome,2280193000.0,,,
IssuanceOfStockAndWarrantsForServicesOrClaimsRelatedParties,0.0,,,
AdjustmentsForIncreaseDecreaseInOtherOperatingPayables,-2558.0,-2938.0,-5709.0,6214.0
CashOutlayForDeposit,3920.0,-3920.0,,
UnrealizedGainLossOnDerivativesAndCommodityContracts,-1840683.0,,-3346830.0,-1840683.0
NoncashGainLossOnConversionOfShares,,,,
AdjustmentsForDecreaseIncreaseInAmortizationOfPrepaidExpenses,16369.0,,0.0,
IncreaseDecreaseInOperatingLeaseRightOfUseAsset,-37300.0,,0.0,-134326.0
WarrantAmendment,0.0,,,
AmortizationDeferredGainOnSaleLeaseback,112836.0,37612.0,,37611.0
GainLossOnRevaluationOfWarrants,-65167.0,,,8483.0
IncreaseDecreaseInAccountsAndNotesReceivable,-25000.0,5813.0,256.0,0.0
ProceedsFromCommonStockSubscriptionReceived,0.0,,0.0,325368.0
GainLossOnConversionOfLiabilities,-17265.0,,,
StockIssuanceForTrueupShares,0.0,,281000.0,0.0
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,12530.0,0.0,980314.0,1384530.0
GainLossOnHedgeIneffectiveness,0.0,,0.0,
IncreaseDecreaseInAdvancesForWellWork,0.0,,,
IncreaseDecreaseInPremiumsReceivable,-151824.0,1745402.0,1119494.0,390922.0
AssetImpairmentCharges,0.0,0.0,0.0,439109.0
AdjustmentsForFinanceCosts,1205447000.0,,,0.0
ProvisionForOtherLosses,2297.0,-12858.0,0.0,10776.0
IncreaseDecreaseInOperatingLeaseRightOfUseAssets,0.0,,-106000.0,0.0
IncreaseDecreaseInAccountsReceivableAndOtherOperatingAssets,30433.0,,,
ChangeInFairValueOfContingentAcquisitionDebt,0.0,,-433000.0,-4076000.0
IncreaseDecreaseInOperatingLeaseLiability,-33491.0,,-67657.0,-72113.0
MakewholePremiumOnEarlyPaymentOfConvertibleNote,176000.0,,,
OtherSignificantNoncashTransactionValueOfConsiderationGiven1,454503.0,3404502.0,,470000.0
IncreaseDecreaseInOperatingLiabilities,,,-6996.0,195798.0
StockGrantedDuringPeriodValueSharebasedCompensationGross,294796.0,277915.0,0.0,0.0
PaymentsForOriginationAndPurchasesOfLoansHeldForSale,747020.0,7860877.0,3879730.0,7860877.0
ConversionOfAccruedLiabilitesRelatedPartiesToConvertibleNotesPayable,491802.0,0.0,491802.0,0.0
IncreaseDecreaseInUnearnedRevenues,-33965053.0,0.0,35050572.0,
IncreaseDecreaseInReceivables,973000.0,-114000.0,2708000.0,258000.0
OtherNoncashExpense,696013.0,19000.0,13000.0,13501622.0
LossContingencyAccrualProvision,555000.0,,,
ProductWarrantyExpense,-1000.0,0.0,,13000.0
IncreaseDecreaseInOperatingLeaseLiabilitiesCurrrent,-10090.0,,-28106.0,-53601.0
AdjustmentsForWriteOffOfMineralPropertyInterest,0.0,,,
UnearnedForeignCurrencyGainloss,-49397.0,290386.0,167912.0,43470.0
IncreaseDecreaseInCommodityContractAssetsAndLiabilities,4000.0,1000.0,8000.0,6000.0
BreakupFeesInConnectionWithAbandonmentOfLeaseAcquisition,580881.0,,,
PaymentsToDevelopRealEstateAssets,22500.0,30000.0,30000.0,0.0
AdjustmentsForDecreaseIncreaseInOtherCurrentAssets,63.0,,,
IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,0.0,2781.0,0.0,-1530.0
MarketableSecuritiesGainLossExcludingOtherThanTemporaryImpairments,-5373000.0,-16017000.0,,
IncreaseDecreaseInDueFromAffiliatesCurrent,-542047.0,,,
AllowanceForDoubtfulAccountsReceivableWriteOffs,0.0,2216000.0,0.0,10747.0
IncreaseDecreaseInOtherNoncurrentAssetsAndLiabilitiesNet,-155218.0,-25653.0,-55992.0,
GainLossOnDerivativeInstrumentsNetPretax,4589135.0,0.0,-225051.0,31700.0
IncreaseDecreaseInDueFromRelatedPartiesCurrent,0.0,96000.0,,
ChangesInNoncashWorkingCapitalBalancesNote12,-858170.0,,,
AdjustmentsForIncreaseDecreaseInTradeAndOtherPayables,-101.0,,,
FixedAssetsWrittenOff,-33000.0,,0.0,
ChangeInFairValueOfEarnoutLiability,0.0,375000.0,0.0,0.0
IncreaseDecreaseInCustomerDepositsAndDeferredRevenue,-582000.0,609000.0,1730000.0,-1006000.0
AmortizationOfDeferredCharges,0.0,-16000.0,,
IncreaseDecreaseInReinsuranceRecoverable,3376350.0,-3500669.0,2276245.0,213334.0
IncreaseDecreaseInUnearnedRevenue,-48968.0,-61933.0,-41524.0,-61933.0
IncreaseDecreaseInOilAndGasRevenuesPayable,-33368.0,-19769.0,,
UnrealizedGainLossOnCommodityContracts,-504875.0,152650.0,-262050.0,4859838.0
IncreaseDecreaseInOtherReceivablesOtherLPs,-21605.0,,,
ShareOfProfitLossOfAssociatesAccountedForUsingEquityMethod,422650000.0,,,
IncreaseDecreaseInOperatingLeaseObligations,0.0,,0.0,0.0
IncreaseDecreaseInAccruedArbitrationAward,1500000.0,4000000.0,3000000.0,4000000.0
AdjustmentsForWriteOffOfEquipment,-1000.0,,,
AccretedInterestOnDebtDiscountWarrants,46795.0,229695.0,92332.0,147461.0
IncreaseDecreasePrepaymentOfDevelopmentCosts,-1335652.0,-583347.0,-1155364.0,
GainOnSaleFromBuilding,0.0,,,
IncreaseDecreaseInServicesConsultingContracts,127500.0,-640000.0,,
IncreaseDecreaseInCondominiumInventories,-512000.0,-236000.0,-512000.0,
ProceedsFromCollectionOfLongtermLoansToRelatedParties,30000.0,55000.0,55000.0,
IncreaseDecreaseInSecurityDeposits,-2550.0,-2550.0,122.0,0.0
IncreaseDecreaseInStockSubscriptionReceivable,-20000.0,,,
IncreaseInBankOverdraft,2919.0,,,
OtherDepreciationAndAmortization,25097.0,587000.0,315206.0,334138.0
AdjustmentsForSharebasedPayments,13369000.0,7373.0,0.0,0.0
DeferredIncomeTaxExpenseBenefit,0.0,0.0,0.0,-46000.0
GainLossOnDispositionOfAssets1,0.0,26000.0,-29190.0,0.0
OtherCashPaymentsFromOperatingActivities,2510000.0,,-258322.0,
Prepaidworkerscompensation,-44600.0,-132068.0,-313868.0,
IncreaseDecreaseInBuilderDeposits,-543282.0,-1162354.0,-913870.0,-1340086.0
IncreaseDecreaseInMaturityLiabilities,1707122.0,-10530060.0,-4363662.0,
DerivativeGainLossOnDerivativeNet,-2521.0,800000.0,-9830550.0,-702493.0
StockCompensationExpenseWarrants,5000.0,239680.0,5000.0,5000.0
DisposalOfMarketableSecurities,0.0,,-44475.0,
IncreaseDecreaseInInterestPayableRelatedParties,485875.0,319237.0,332671.0,508193.0
IncreaseDecreaseInIVAReceivableAndOtherAssets,-45609.0,,,
ProceedsFromStockSubscriptions,225600.0,50000.0,50000.0,
ImpairmentOfInvestments,278000.0,0.0,29424.0,
CommonStockIssuedForConvertibleDebtExtension,90300.0,,,
IncreaseDecreaseInCustomerAdvances,87000.0,265000.0,1799000.0,-63800.0
IncreaseDecreaseInLiabilityForClaimsAndClaimsAdjustmentExpenseReserve,-4001000.0,-4669000.0,-4001000.0,-4001000.0
IncreaseDecreaseInNotesPayableCurrent,-501112.0,-501112.0,336643.0,
IncreaseDecreaseInDeferredPolicyAcquisitionCosts,282977.0,2142195.0,113000.0,2583831.0
CashFlowsFromUsedInOperationsBeforeChangesInWorkingCapital,-760289.0,,-196218.0,
NetCash,924592.0,,,
PaymentsToAcquireAssetsInvestingActivities,7892.0,2000000.0,,
ReductionInMortgageDebt,-7783.0,,,
GainLossOnSaleOfBusiness,1522000.0,,0.0,0.0
IncreaseDecreaseInRoyaltiesReceivable,0.0,,,
IncreaseDecreaseInAccountsReceivableRelatedParties,-23000.0,,492000.0,-288.0
GrapesPayables,-1455569.0,-1053715.0,-1019129.0,-1053715.0
IncreaseDecreaseInAccountsReceivableJointInterestBilling,-588132.0,363322.0,733827.0,
IncreaseDecreaseInDeferredCharges,-146300.0,-1142000.0,0.0,26177.0
CashAndCashEquivalentsPeriodIncreaseDecreaseContinuingOperations,-519438.0,11507000.0,0.0,-3028936.0
IncreaseDecreaseInUnbilledReceivables,-73894.0,183716.0,-94297.0,246000.0
