,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
DebtInstrumentUnamortizedDiscountNotesPayableCurrent,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesEquitySecuritiesCurrent,,,,,,,,,,64673.0,64941.0,79126.0,,41973.0,37814.0,37580.0,,18350.0,2229.0,18350.0,,4811.0,3139.0,,,,,,,,,,,,,,,,,,,,
TemporaryEquitySharesOutstanding,,,,,,,,,,6454993.0,0.0,,,,,,,,,725000.0,,,475000.0,,,,7000000.0,475000.0,,,,120000.0,,,,,,,,,,,
DebtInstrumentUnamortizedDiscountSeniorSecuredConvertibleNotesPayableNonCurrent,,,,,,,,,,,2498065.0,2498065.0,2498065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AccountsNotesAndLoansReceivableNetCurrent,,,,,,,5523000.0,8514000.0,8141000.0,7709000.0,8141000.0,8141000.0,8141000.0,6787000.0,6979000.0,8773000.0,8141000.0,1068000.0,1670000.0,1670000.0,1113000.0,2494000.0,53124000.0,3043000.0,612000.0,3043000.0,40373000.0,40373000.0,37009000.0,38941000.0,36721000.0,37009000.0,80177000.0,80177000.0,80177000.0,76916000.0,80177000.0,25122000.0,,,,,
AccountsAndOtherReceivablesNetCurrent,,,,,,,,,,105527.0,82336.0,195466.0,51512000.0,1056257.0,303578.0,173006.0,51512000.0,45584.0,50186.0,45584.0,784427.0,45584.0,15061.0,323925.0,238567.0,238567.0,332922.0,487077.0,23670000.0,332922.0,66064.0,,,,,,,,80150000.0,,72494000.0,13808.0,20624.0
RestrictedCashAndInvestmentsCurrent,,,,,,,,,745000.0,2870000.0,2920000.0,500000.0,645000.0,2920000.0,2920000.0,2995000.0,2995000.0,2995000.0,3081020.0,3081020.0,3376183.0,3081020.0,3081020.0,4070611.0,4959711.0,3320781.0,4696007.0,4134737.0,4696007.0,4696007.0,8527462.0,8527462.0,8848221.0,8527462.0,7532683.0,,,,,,,467798.0,
DeferredExpenditureOnSmartCards,,,,,,,,,51000.0,51000.0,51000.0,51000.0,4587000.0,4604000.0,8306000.0,3915000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtInstrumentUnamortizedDiscountSeniorSubordinatedConvertibleNotesPayableCurrent,,,,,,,,,,,0.0,0.0,0.0,1703.0,5564.0,0.0,0.0,,40149.0,0.0,,17937.0,17937.0,17937.0,,,,,,,,,,,,,,,,,,,
TradingSecurities,,,,,,,,,2250.0,2250.0,2250.0,2250.0,2250.0,2250.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReceivablesNetCurrent,,,,,,,,,420020.0,92737.0,20872620.0,150914.0,125354.0,24173794.0,47075.0,49167748.0,2477.0,44061763.0,56526.0,30490.0,33519.0,26419.0,89337.0,26419.0,3986.0,8805.0,270884.0,4910.0,0.0,13421.0,5162.0,4632.0,40102.0,9127.0,31333.0,192194.0,691000.0,72171.0,101616.0,157322.0,149933.0,173791.0,115454.0
FinancingReceivable,,,,,,,,,,55464.0,35810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherReceivables,,,,,,,,,17724.0,3340.0,3553000.0,6637.0,5847682.0,6147550.0,4673000.0,9603954.0,3500.0,3593.0,203000.0,9913668.0,6421363.0,10160.0,210000.0,6312.0,150000.0,8183485.0,90000.0,5897569.0,90000.0,77815.0,0.0,56461.0,128634.0,708892.0,,0.0,0.0,,71000.0,,,,0.0
DeferredTaxAssetsValuationAllowance,,,,,,,,,,293629.0,313080.0,322729.0,,-691050.0,25454836.0,9178000.0,,376739.0,10860557.0,1033000.0,,419000.0,4740000.0,10319661.0,,0.0,9347000.0,13595596.0,,76320.0,9347000.0,228278.0,,1806100.0,1307300.0,2608051.0,2764446.0,,,,,,
CommonStockNoParValue,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0
ValueAddedTaxReceivableCurrent,,,,,,,,,21358.0,37820.0,3048.0,953.0,1114941.0,370099.0,109377.0,161827.0,0.0,9066.0,,161827.0,7506.0,12471.0,,22361.0,22361.0,95613.0,,22361.0,29442.0,28718.0,28907.0,28907.0,16084.0,22180.0,,16160.0,5343106.0,15935.0,16160.0,17925.0,17858.0,38578.0,39118.0
ContractsReceivable,,,,,,,,,150884.0,11913.0,11913.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtInstrumentUnamortizedDiscountSeniorSubordinatedConvertibleNotesPayableNonCurrent,,,,,,,,,,,19684.0,19684.0,0.0,,,,,60482.0,0.0,60482.0,,60482.0,,0.0,,,,,,,,,,,,,,,,,,,
AccountsReceivableNetCurrent,,,,,,,37225000.0,75125000.0,2600.0,2600.0,1747862.0,27233.0,107080000.0,0.0,32036.0,381955.0,101918000.0,9038384.0,109917000.0,585153.0,20351.0,14267.0,148067000.0,27550.0,117174.0,4770.0,699208.0,58806466.0,3766517.0,31759744.0,3209279.0,107805000.0,2283626.0,11012.0,31382.0,1202000.0,2599095.0,2049331.0,121742.0,1796953.0,2049331.0,50000.0,381000.0
MarketableSecuritiesCurrent,,,,,,,,,12573.0,19344.0,19344.0,97260.0,45181.0,5146823.0,19344.0,1612716.0,49917.0,164333.0,1598209.0,3750.0,453750.0,57128.0,293750.0,293750.0,183751.0,181950.0,161050.0,181950.0,181950.0,181950.0,5400.0,18780.0,68000.0,0.0,54495.0,,,,,,,,
DueFromRelatedPartiesCurrent,,,,,,,,,43614.0,282257.0,6000.0,3200.0,18080.0,0.0,145113.0,9056.0,60151.0,203241.0,2917592.0,0.0,28956.0,8679152.0,508355.0,0.0,225249.0,0.0,337135.0,285365.0,460528.0,611879.0,638926.0,638926.0,1839932.0,2037103.0,0.0,41734.0,1554727.0,,2208.0,,,116020.0,
DeferredFinanceCostsCurrentNet,,,,,,,,,,60965.0,60965.0,312549.0,60965.0,540441.0,60965.0,0.0,37380.0,95661.0,37380.0,38052.0,6532.0,0.0,83811.0,170674.0,54288.0,38052.0,38052.0,63741.0,63741.0,63741.0,52946.0,,51948.0,,,,,,,,,,
DueFromAffiliateCurrent,,,,,,,,,499043.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CapitalizedCostsMineralInterestsInUnprovedProperties,,,,,,,,,,,2230634.0,,,2230634.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PreferredStockParOrStatedValuePerShare,,,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.01,0.01,0.001,0.001,0.001,0.01,0.001,0.001,0.001,0.0001,0.001,0.001,0.0001,0.0,0.001,0.001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.001
Cash,,,,,,,,,336746.0,62978.0,152829.0,602343.0,36.0,64753.0,30452.0,0.0,19252923.0,212390.0,11915676.0,3956.0,0.0,15892.0,8533.0,10939301.0,10860.0,958318.0,7568.0,0.0,14569.0,10669.0,5594.0,6184.0,129973.0,1774.0,163.0,702873.0,0.0,489200000.0,107.0,4817357.0,47555000.0,6815000.0,4817357.0
OtherAssetsCurrent,,,,,,,,,34150.0,61489.0,164239.0,20608.0,4544544.0,4544544.0,6839970.0,10058782.0,1037.0,839104.0,3500.0,10975335.0,10800700.0,76654.0,1550359.0,113924.0,22442.0,19872.0,1680819.0,0.0,0.0,0.0,268354.0,8113861.0,507539.0,126395.0,5854792.0,0.0,,,,,,,
PreferredStockSharesAuthorized,,,,,,,50000000.0,50000000.0,5000000.0,3000000.0,100000000.0,100000000.0,100000000.0,1500.0,20000000.0,50000000.0,5000000.0,100000000.0,20000000.0,10000.0,1000000.0,15000000.0,25000000.0,50000000.0,100000000.0,100000000.0,16500000.0,10000000.0,50000000.0,50000000.0,5000000.0,50000000.0,100000000.0,5000000.0,500000.0,5000000.0,20000000.0,5000000.0,1120000.0,100000000.0,100000000.0,20000000.0,100000000.0
PrepaidExpenseAndOtherAssetsCurrent,,,,,,,,,348826.0,329000.0,2147.0,2036011.0,825817.0,21378000.0,7200.0,717260.0,87786.0,59566.0,89628.0,1092450.0,109049.0,39316.0,15754000.0,363.0,609512.0,367441.0,994003.0,306.0,1941.0,23455000.0,50037.0,847032.0,331888.0,149691.0,6648.0,296471.0,879660.0,29024000.0,1247233.0,296471.0,36015000.0,35484000.0,1697199.0
PropertyPlantAndEquipmentOtherNet,,,,,,,,,,143679.0,154417.0,20735551.0,202430.0,202430.0,,21062582.0,20383402.0,862127.0,,,,,,,,,,,,,,,,,,,1418512.0,1169635.0,,1945265.0,1746995.0,,1422581.0
TotalCurrentAssetsBeforeFundsHeldForClients,,,,,,,226429000.0,201589000.0,213421000.0,210532000.0,198815000.0,211732000.0,213421000.0,175236000.0,182374000.0,179209000.0,184723000.0,184723000.0,184723000.0,226179000.0,282908000.0,295878000.0,282908000.0,282908000.0,282908000.0,333559000.0,329307000.0,297394000.0,386998000.0,386998000.0,362785000.0,386998000.0,465735000.0,372833000.0,314918000.0,301203000.0,277794000.0,277794000.0,277794000.0,,232171000.0,334611000.0,311292000.0
CapitalizedCostsUnprovedProperties,,,,,,,,,,40537.0,47877.0,30037.0,,1300000.0,1300000.0,0.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,,,,,,,,,,,,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,7057.0,71684.0,,,,,4213433.0,0.0,0.0,1502711.0,3157860.0,75933.0,0.0,0.0,,,1400000.0,64330000.0,64330000.0,23351.0,94000.0,0.0,381041.0,0.0,20740.0,20416.0,19852.0,790550.0,,22482000.0,,22482000.0,117842000.0,117842000.0
CostsInExcessOfBillingsOnUncompletedContractsOrPrograms,,,,,,,,,158221.0,,105327.0,,42917900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PreferredStockSharesIssued,,,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,200000.0,0.0,,,,,74276.0,,0.0,0.0,,,,120000.0,0.0,,,,,0.0,,0.0,0.0,0.0
NotesAndLoansReceivableNetCurrent,,,,,,,,,23207.0,60000.0,0.0,125895.0,37563.0,15727.0,7865.0,9473000.0,10000.0,1172527.0,0.0,97380.0,13794094.0,0.0,0.0,0.0,774301.0,20000.0,20000.0,35794.0,1509.0,0.0,1585047.0,,,,,,,,25217000.0,,30631000.0,8781000.0,15879000.0
ReclamationFinancialAssurance,,,,,,,,,286653.0,286653.0,296180.0,296180.0,296180.0,299492.0,296180.0,339079.0,339079.0,339079.0,339079.0,478727.0,478739.0,563105.0,553329.0,553343.0,553329.0,,,,,,,,,,,,,,,,,,
MiningInterestLosAmoles,,,,,,,,,,96000.0,282000.0,282000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UnprovedOilAndGasPropertyFullCostMethod,,,,,,,,,,14685943.0,14692142.0,14535584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShortTermInvestments,,,,,,,,,878608.0,0.0,0.0,,9066000.0,0.0,33716.0,44622000.0,33716.0,0.0,9264000.0,0.0,0.0,10653523.0,14716023.0,14716023.0,14716023.0,0.0,1613727.0,5401499.0,8064516.0,0.0,0.0,0.0,3884000.0,5291000.0,8850471.0,0.0,0.0,1137180.0,1154643.0,1500901.0,4180000.0,580000.0,380056.0
RestrictedCashAndCashEquivalents,,,,,,,,,597447.0,90638.0,1753359.0,1018724.0,648471.0,4170.0,122521.0,3998956.0,6536082.0,791500.0,27805.0,25822.0,26522.0,4287275.0,10345825.0,628.0,325505.0,5160.0,12918.0,0.0,2994364.0,4569781.0,5000.0,5000.0,4097621.0,831558.0,4208765.0,202216.0,0.0,63100000.0,387000.0,544000.0,22350000.0,,75446000.0
InventoryNet,,,,,,,3622000.0,3622000.0,15109102.0,0.0,2775947.0,787879.0,37836.0,3551314.0,71338590.0,0.0,832083.0,975719.0,57275187.0,3624.0,945040.0,802661.0,3403854.0,138380.0,264256000.0,1037087.0,3057575.0,854290.0,12979000.0,371223000.0,2067844.0,1142726.0,2080853.0,634347.0,53932.0,28521552.0,53964.0,1736000.0,383000.0,2058012.0,1002020.0,5389.0,24738.0
IncomeTaxReceivable,,,,,,,,,24754.0,,47286.0,47286.0,0.0,47286.0,0.0,,12000.0,70000.0,1000.0,66226.0,12000.0,3241.0,12000.0,25227.0,12000.0,44649.0,44649.0,44649.0,,5097.0,,,,,,,,,,,,,
FundsHeldForClients,,,,,,,83661000.0,146441000.0,186668000.0,186668000.0,186668000.0,39408000.0,186668000.0,347672000.0,414621000.0,538318000.0,752476000.0,685305000.0,752476000.0,752476000.0,725987000.0,724279000.0,480962000.0,651615000.0,725987000.0,600195000.0,321812000.0,661916000.0,,,,,,,,,,,,,,,
DeferredCosts,,,,,,,,,1705.0,3472.0,33092.0,,33092.0,1236.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,79313.0,,,92644.0
LoansReceivableCommercialAndIndustrial,,,,,,,,,900000.0,983055.0,983055.0,,983055.0,983055.0,983055.0,,983055.0,0.0,0.0,,983055.0,,,,,,,,,,,,,,,,,,,,,,
AssetRetirementObligationLegallyRestrictedAssetsFairValue,,,,,,,,,2019721.0,2020107.0,2043107.0,2043107.0,2043107.0,15000.0,15000.0,2043107.0,15000.0,6800000.0,15000.0,2081039.0,6800000.0,622500.0,622500.0,622500.0,,,,,,,,,,,,,,,,,,,
InvestmentOwnedAtCost,,,,,,,,,,238304.0,238304.0,238304.0,238304.0,1000000.0,238304.0,238304.0,238304.0,238304.0,238304.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
PreferredStockSharesOutstanding,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,,120000.0,,,120000.0,120000.0,,,0.0,,,,
PropertyPlantAndEquipmentGross,,,,,,,,,151303.0,51096100.0,51096100.0,104093.0,85814000.0,50563597.0,49634502.0,1644497.0,126858000.0,121716.0,39928.0,5432403.0,494515.0,32639090.0,,16010912.0,,5778319.0,,,,,,,,,,,,,,,,,
DeferredTaxAssetsNetCurrent,,,,,,,18546000.0,16330000.0,15882000.0,0.0,30276.0,0.0,259867.0,65964.0,47000.0,0.0,1326.0,3987738.0,4806000.0,130000.0,110000.0,7045000.0,4806000.0,0.0,1836757.0,0.0,1836757.0,1836757.0,0.0,0.0,111844.0,111844.0,111844.0,0.0,,0.0,5330000.0,,,,,,
DeferredIncomeTaxesAndOtherAssetsCurrent,,,,,,,,,,,4512.0,0.0,26467.0,0.0,,,,,,,,,1803000.0,1803000.0,1803000.0,1803000.0,,,,,,,,,,,,,,,,,
MiningInterestFirstMajestic,,,,,,,,,,3400000.0,0.0,3400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DepositAssets,,,,,,,,,,992.0,992.0,,29589.0,992.0,992.0,0.0,0.0,0.0,0.0,0.0,,10170.0,,,,,,,,0.0,0.0,250000.0,,,,,,,,,,,
InvestmentOwnedAtFairValue,,,,,,,,,,23166971.0,29366063.0,45135883.0,42343343.0,29366063.0,29366063.0,17462734.0,200000.0,17462734.0,17462734.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
OtherReceivablesNetCurrent,,,,,,,,,,5376.0,9212.0,665.0,2739220.0,451.0,226937.0,6482.0,5615.0,55952.0,5745487.0,0.0,16636.0,25125238.0,83713.0,48561.0,65673.0,57976.0,39852.0,26899.0,7734.0,35484.0,17256.0,33780.0,13385.0,15051.0,12308.0,12308.0,3968.0,3947.0,2112.0,15902.0,14240.0,9825.0,
NotesAndLoansPayableCurrent,,,,,,,,,,,0.0,,,,,,,,,,,,,,,168823.0,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,,,,,,,,,3505751.0,0.0,420801.0,353781.0,1223251.0,0.0,20050.0,0.0,155869.0,2048.0,0.0,20715.0,222114.0,0.0,2378000.0,540636.0,2383841.0,57632.0,888122.0,1408000.0,12965000.0,97363000.0,107028.0,1206809.0,222702.0,1096000.0,7768000.0,20799235.0,891000.0,43942000.0,426054.0,3280000.0,121980.0,716451.0,2512138.0
CommonStockParOrStatedValuePerShare,,,,,,,0.001,0.001,0.001,0.001,0.0,0.0001,0.001,0.002,,0.001,0.001,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.0,0.001,0.001,0.001,0.001,0.001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.001
CommonStockOtherValueOutstanding,,,,,,,,,,,575000.0,237500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShortTermNonBankLoansAndNotesPayable,,,,,,,,,104731.0,18855.0,0.0,36735.0,36735.0,17000.0,154902.0,145902.0,3500000.0,10004000.0,10048000.0,36735.0,114536.0,143833.0,10048000.0,3500000.0,0.0,0.0,,,,,,,,,,,3313000.0,,8865000.0,,,,
CommonStockSharesAuthorized,,,,,,,200000000.0,200000000.0,100000000.0,100000000.0,150000000.0,1750000000.0,500000000.0,10000000.0,,750000000.0,300000000.0,1500000000.0,500000000.0,3000000000.0,200000000.0,100000000.0,1500000000.0,75000000.0,500000000.0,190000000.0,1750000000.0,,900000000.0,200000000.0,100000000.0,,300000000.0,400000000.0,200000000.0,500000000.0,28000000.0,100000000.0,500000000.0,100000000.0,28000000.0,200000000.0,500000000.0
TreasuryStockShares,,,,,,,13149042.0,13149042.0,7000000.0,7000000.0,13455090.0,13274434.0,360627.0,13750.0,61845.0,61845.0,13455090.0,61845.0,0.0,550000.0,0.0,45000000.0,18057228.0,1033333.0,43555.0,18057228.0,18057228.0,1402448.0,2250000.0,2250000.0,23621541.0,23621541.0,24891292.0,1033333.0,0.0,24891292.0,24891292.0,24891292.0,24891292.0,,24891292.0,24891292.0,24891292.0
MiningInterestAyones,,,,,,,,,,0.0,0.0,174131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProvedProperty,,,,,,,,,,,3717866.0,,3717866.0,,3699535.0,3699535.0,3699535.0,,3427086.0,3370540.0,3427086.0,3322395.0,,,,,,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,39683000.0,46189000.0,50007000.0,80216.0,50007000.0,165561.0,6519664.0,6631012.0,21424.0,1154600.0,2287928.0,592.0,115100000.0,20391.0,1265023.0,312.0,251000.0,958.0,4531419.0,11199000.0,428979.0,557136.0,521597.0,553764.0,72697.0,124527000.0,,924984.0,136996000.0,14459355.0,129185000.0,567241000.0,303032.0,,1848568.0,630166.0,
NotesReceivableRelatedPartiesNoncurrent,,,,,,,,,,0.0,1878010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760384.0,
MineralRights,,,,,,,,,503020.0,503020.0,1650000.0,1650000.0,0.0,679711.0,42594920.0,42197119.0,1650000.0,41785852.0,41785852.0,40001698.0,0.0,39488699.0,1650000.0,0.0,1650000.0,38378906.0,1650000.0,942723.0,1650000.0,1415000.0,704053.0,1415000.0,704053.0,704053.0,704053.0,704053.0,704053.0,704053.0,704053.0,,,,
DeferredFinanceCostsNoncurrentNet,,,,,,,,,1000.0,0.0,9204.0,7994.0,677604.0,220121.0,45813.0,0.0,108318.0,74329.0,200141.0,65539.0,57341.0,1115283.0,167621.0,0.0,65539.0,65539.0,107108.0,43422.0,43367.0,0.0,36874.0,0.0,36874.0,0.0,0.0,,,,,,,,
BankOverdrafts,,,,,,,,454000.0,,0.0,503.0,0.0,0.0,0.0,54558.0,8361.0,8361.0,22104.0,0.0,85542.0,10887.0,10887.0,1215.0,0.0,421172.0,103.0,,417952.0,,0.0,,,,,0.0,119.0,820.0,,3933.0,,,,
CommonStockSharesIssued,,,,,,,45378397.0,45535353.0,39722168.0,24314124.0,70821433.0,27465174.0,307416654.0,45305862.0,,5200623.0,27603336.0,82636433.0,73127686.0,77500000.0,953830000.0,90966558.0,90966558.0,172592292.0,20453500.0,46849285.0,63438300.0,77655862.0,86126100.0,16030697.0,34760008.0,591042000.0,62068537.0,108224295.0,34760008.0,95306667.0,25991346.0,15128332.0,34837625.0,5953380.0,39573512.0,15128332.0,115063760.0
PrepaidExpenseCurrent,,,,,,,,,54763.0,1676.0,146534.0,576805.0,31085.0,9630.0,106785.0,79837.0,79837.0,2500.0,0.0,10000.0,10731.0,143993.0,129752.0,234091.0,7500.0,96000.0,15832.0,13288.0,2651.0,459330.0,0.0,779000.0,0.0,0.0,0.0,1100.0,53719.0,271687.0,462000.0,1078000.0,77067.0,170000.0,326921.0
UnprovedProperties,,,,,,,,,,,19293.0,,19293.0,,19293.0,19293.0,19293.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
DepositsAssetsCurrent,,,,,,,,,41738.0,195000.0,0.0,5423.0,3500914.0,16373.0,44280.0,195000.0,150000.0,53643.0,15000.0,76800.0,3242259.0,10002.0,15331.0,3578514.0,1000.0,3578514.0,1519601.0,3741346.0,1459450.0,14447.0,21876.0,0.0,0.0,5750.0,592.0,10477507.0,592.0,,,,,,
EquityMethodInvestmentsFairValueDisclosure,,,,,,,,,178486.0,178486.0,178486.0,,178486.0,1571000.0,65551.0,1112000.0,65551.0,43632.0,42174.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
LoansAndLeasesReceivableOther,,,,,,,,,1013468.0,0.0,334394.0,0.0,12981.0,300000.0,,12981.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesNoncurrent,,,,,,,,,,,2540000.0,,2540000.0,2540000.0,2540000.0,1803000.0,1432000.0,1432000.0,2540000.0,0.0,600000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,,,,,,,,,,30022.0,0.0,,,,,0.0,0.0,4294.0,0.0,250556.0,0.0,,,,,,,,,,,,,,,,,,,,,,
CapitalizedLeaseCosts,,,,,,,,,,,27868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CommonStockSharesOutstanding,,,,,,,45392353.0,45535353.0,57760141.0,104330000.0,76473750.0,48517903.0,172592292.0,4326929.0,,136400449.0,12619597.0,823918971.0,79387175.0,163134500.0,41908620.0,30000000.0,321416654.0,46607153.0,60633701.0,5200623.0,45811417.0,,46679565.0,34760008.0,30000000.0,1334479557.0,30000000.0,225047200.0,34760008.0,20453500.0,26647478.0,115063760.0,11906742.0,432020993.0,5370028.0,115063760.0,56568425.0
DeferredTaxAssetsNetNoncurrent,,,,,,,,,,,864000.0,869000.0,89998.0,53864.0,409845.0,689000.0,79080.0,217380.0,403121.0,347264.0,0.0,1505981.0,347264.0,2061000.0,2061000.0,842000.0,0.0,460237.0,958000.0,115000.0,108300.0,0.0,170300.0,1045000.0,0.0,149525.0,0.0,182000.0,182000.0,182000.0,2151000.0,0.0,2187000.0
InvestmentsInPowerAndDistributionProjects,,,,,,,,,,,4486550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVenturesFairValueDisclosure,,,,,,,,,17936361.0,17968651.0,17933454.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,553205.0,553205.0,197393.0,553205.0,475519.0,472270.0,197393.0,81250.0,270019.0,81250.0,48832.0,0.0,2100000.0,924753.0,930898.0,0.0,3258125.0,0.0,,3101785.0,3081332.0,3081332.0,,79000.0,252000.0,0.0,1321000.0,1321000.0,0.0,0.0,0.0,,,,
AssetsCurrent,,,,,,,310090000.0,310090000.0,6246180.0,12064375.0,6544138.0,1046016.0,84493259.0,36259.0,249299.0,584402000.0,4915883.0,2153099.0,419729000.0,31594.0,97737.0,1451390.0,1068627.0,31306558.0,2229526.0,2999390.0,272688.0,338743.0,36239.0,2357205.0,923723000.0,13553476.0,4375341.0,66819824.0,9457261.0,66819824.0,190039.0,10574081.0,411406.0,2204430.0,3651673.0,223608.0,3546.0
