,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,,,,,-25000.0,-25000.0,12550.0,13575.0,10100.0,525.0,2550.0,10525.0,,,,,,,10100.0,,,,,,25500.0,,,,28100.0,,,-400.0,,5066.0,,10218.0,-8889.0,,,-8889.0
IncreaseDecreaseInAccountsReceivable,,,,,,,,,,,,0.0,,-90348.0,30068.0,-61867.0,,,,,,29886.0,11120.0,35365.0,,5392.0,110872.0,-11197.0,13903.0,-29889.0,8.0,18000.0,,665139.0,,2392.0,683413.0,1056788.0,,870814.0,0.0,-48796.0,-30182.0,212665.0
IncreaseDecreaseInNotesPayableCurrent,,,,,,,,,,,,,,,,,,7003.0,,,,,,,,,,,-50011.0,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,,,,,,,,,,14503.0,0.0,25496.0,0.0,12975.0,-3679.0,25819.0,-42529.0,52658.0,353171.0,26880.0,94534.0,-52206.0,42376.0,2611.0,-8080.0,85880.0,43205.0,-13106.0,15606.0,115967.0,110899.0,64548.0,-35582.0,15606.0,2341.0,15606.0,-25357.0,485973.0,,431433.0,-2121.0,42763.0,13427.0,34656.0
ProceedsFromContributedCapital,,,,,,,,,,,,,0.0,,,,90000.0,,,,,,,,,,,,159891.0,50409.0,216580.0,368491.0,48100.0,5690.0,,65405.0,48100.0,,,65405.0,,0.0,,
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,,,,,,9044306.0,278875.0,0.0,385970.0,0.0,,,0.0,,99050.0,,39160.0,39160.0,,,,80000.0,,,2499.0,,,11250.0,,10000.0,1485914.0,,,85500.0,168750.0,,14224.0,,,,
PaymentsForRepurchaseOfCommonStock,,,,,,,,,,,,,,,,,,975000.0,975000.0,,975000.0,,,,,,,,,2500.0,2500.0,,,,,,,,,,,,,
IncreaseDecreaseInAccruedLiabilities,,,,,,,,,,290168.0,169522.0,130782.0,29526.0,-4558.0,11199.0,13168.0,-3840.0,7720.0,-120384.0,218636.0,,-25894.0,298965.0,44212.0,80422.0,288802.0,36750.0,246008.0,80422.0,33469.0,52546.0,120498.0,,76831.0,-67258.0,202866.0,183701.0,172232.0,,-178849.0,,-129996.0,3253.0,-14575.0
CommonStockIssuedForServicesRelatedParty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6000.0,,,,,,,,,,,,,,,
IncreaseDecreaseInDeferredRevenue,,,,,,,,,,,187603.0,48945.0,-41090.0,-1478.0,-25553.0,-18388.0,843.0,-18388.0,-18388.0,-32853.0,-32853.0,103441.0,,25317.0,4700.0,34960.0,21207.0,2550.0,4700.0,-331644.0,-282768.0,136838.0,,-528133.0,,-692762.0,47751.0,-6790.0,599238.0,,-35168.0,-65591.0,,
IncreaseInStockPurchaseRefund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000.0,,,,,,,,,,,,,,,
IncreaseDecreaseInOtherOperatingLiabilities,,,,,,,,,,,,,,1006.0,-5562.0,-6512.0,-2928.0,1006.0,2013.0,-1697.0,-6117.0,,-1131.0,,,,,137461.0,,,160679.0,,,-1600.0,,,-16503.0,,,,-10806.0,-24135.0,-2350.0,
IncreaseDecreaseInInventories,,,,,,,,,,,,,,,,,,42143.0,,,,85760.0,,,621.0,-30818.0,,,3625.0,1500.0,2947.0,-871.0,-13179.0,3590.0,,,2004526.0,-166236.0,,-1356.0,-2946.0,1568419.0,141479.0,22467.0
ProceedsFromOtherEquity,,,,,,,,,,,,,,,,,90000.0,,,250000.0,,,,,230000.0,265000.0,31000.0,90000.0,,,16252.0,,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,,,,,,,,,-630322.0,-4031194.0,-101905.0,-4516851.0,-167356.0,-35925.0,82350.0,-281973.0,-502266.0,-897174.0,-206112.0,-111876.0,-953245.0,-964946.0,-30086.0,-43578.0,-749635.0,-884951.0,-8289.0,50210.0,-1082707.0,-173976.0,-493258.0,-641565.0,1262284.0,-86857.0,-113221.0,-13474.0,466138.0,-86857.0,-109016.0,-331135.0,-136353.0,-43303.0,-95805.0,-266994.0
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,,,,,,,,,,,,,,,,,,,-10466.0,-141048.0,,-107350.0,-57644.0,-77599.0,-27781.0,-77599.0,-2066555.0,-112391.0,-233884.0,-36636.0,-9535.0,,,,-38301.0,,-8868.0,,,,-136322.0,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,,,,,,,,,,,,,,,2500.0,420.0,9778.0,,2500.0,,9778.0,,9778.0,,,,244.0,14650.0,23641.0,,,,,20658.0,20658.0,,,,,,,
PaymentsToAcquireOtherInvestments,,,,,,,,,,,,,,,,,,,,,,,,,50000.0,50000.0,,1150000.0,,,,,,,,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,,,-51415.0,0.0,0.0,373879.0,14152.0,,5017.0,16554.0,,2976228.0,2976228.0,50588.0,673418.0,0.0,5458.0,0.0,,1398.0,2355.0,4007.0,16198.0,3889.0,10213.0,6419.0,,3889.0,,5304.0,,6522.0,,9913.0,2104.0,,2104.0,2104.0
CashAcquiredFromAcquisition,,,,,,,,,,,3350.0,3350.0,0.0,,,0.0,,,,,,,,,,,,,22773.0,,,,,,,22773.0,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,,,,,,,,,,,,,,-6141.0,,,-250000.0,,831713.0,-89599.0,420000.0,-1151398.0,,,,,,,,,,,,,,,
PaymentsToAcquireIntangibleAssets,,,,,,,,,0.0,-102000.0,,,,,,,,,,,0.0,255000.0,,250000.0,,,10000.0,10000.0,,10000.0,10000.0,,,,,,37311.0,37311.0,,55464.0,,545173.0,,
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,-51415.0,-1126201.0,0.0,-538319.0,,-273789.0,,-7705.0,-4925.0,-5348.0,-3298.0,1549412.0,-765060.0,-337365.0,-111221.0,-2355.0,-17752.0,-10000.0,-756.0,-5458.0,-3181.0,-10000.0,2560.0,18786.0,-752056.0,-1659.0,,247587.0,-20646.0,,-633567.0,,-2104.0,-71339.0,,-2104.0
ProceedsFromRepaymentsOfRelatedPartyDebt,,,,,,,,,,,,,6790.0,,12029.0,,,,,600000.0,600000.0,-33934.0,,,-5000.0,,-50000.0,17180.0,150.0,,,,128706.0,,,128706.0,,,,,,,,
ProceedsFromStockPlans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsOfDividends,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000.0,,20000.0,40000.0,20000.0,,20000.0,,20000.0,93132.0,60000.0,,54477.0,20000.0,24142.0,,21152.0
ProceedsFromNotesPayable,,,,,,,,,49246.0,,,,400000.0,,,,400000.0,1535000.0,1535000.0,,,35000.0,35000.0,12468.0,355000.0,140000.0,426500.0,4797.0,1156500.0,193000.0,387500.0,589500.0,,423600.0,,873100.0,,1141000.0,54401.0,406950.0,1141000.0,450000.0,30000.0,354000.0
CommonStockOfferRescinded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromIssuanceOfCommonStock,,,,,,,,,6375500.0,8327877.0,0.0,0.0,367250.0,,,0.0,,1274263.0,2621443.0,3054163.0,3054163.0,,581500.0,581500.0,662500.0,,1922500.0,,,,14508.0,,100000.0,100000.0,30000.0,,251504.0,-3825.0,,122000.0,165000.0,0.0,250.0,250.0
NetCashProvidedByUsedInFinancingActivities,,,,,,,,,6918992.0,2164482.0,129400.0,3862657.0,18819.0,,12029.0,286000.0,497500.0,1833620.0,35000.0,4421687.0,133476.0,1376500.0,1791500.0,115000.0,355000.0,175305.0,426500.0,654500.0,721000.0,117266.0,426500.0,772861.0,856409.0,480407.0,16606.0,1116500.0,38301.0,73500.0,54651.0,395165.0,18089.0,53130.0,54401.0,292205.0
ProceedsFromIssuanceOfPrivatePlacement,,,,,,,,,,,,,,,,,,,,,,,,2195700.0,2195700.0,175305.0,0.0,372000.0,372000.0,,,,,,,,,,,,,,,
ProceedsFromRepurchaseOfsharesSubscribed,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90000.0,-90000.0,,,,,,,,,,,,,,,
ProceedsFromRepaymentsOfNotesPayable,,,,,,,,,,,,,,,,,,,,,,,,,11903.0,11903.0,50011.0,50011.0,,,,,,,,,,,,,,343002.0,,
ProceedsFromWarrantExercises,,,,,,,,,,3000000.0,0.0,,0.0,,,,,,,,,,0.0,1000000.0,,,,,,,,,,70000.0,1360000.0,,1360000.0,70000.0,,70000.0,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,,,,,,,,,,,,,,,,3600.0,6968.0,,364300.0,140161.0,15816.0,1478327.0,105161.0,56080.0,64161.0,231088.0,111850.0,290500.0,,,231088.0,111850.0,,54651.0,311235.0,,,54401.0,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,,,-4383.0,50852.0,0.0,24724.0,215998.0,-40889.0,-239505.0,259036.0,487501.0,294483.0,1540450.0,1747028.0,-187.0,-31505.0,20418.0,-3657.0,-338353.0,-147154.0,41928.0,22730.0,-30990.0,-38389.0,47551.0,2834.0,-11207.0,-18794.0,,-55162.0,2834.0,53858.0,453.0,183347.0,-28698.0,-32533.0,703016.0,14125.0
IncomeTaxesPaidNet,,,,,,,,,,0.0,0.0,0.0,0.0,,475.0,0.0,2989.0,,475.0,475.0,2989.0,2753.0,1600.0,,3076.0,,1600.0,,3076.0,,,,,8548.0,,,16156.0,17545.0,,3629.0,16156.0,17545.0,,
CashAndCashEquivalentsAtCarryingValue,,,,,,,,,,74571.0,0.0,0.0,0.0,265567.0,51064.0,0.0,487501.0,492729.0,116650.0,2239757.0,492729.0,,12636.0,46384.0,484.0,255.0,636542.0,46384.0,,19051.0,19051.0,14175.0,2968.0,107374.0,,24695.0,,326179.0,,1756.0,87614.0,17165.0,819328.0,393.0
NotesReduction,,,,,,,,,,,,,,,,,,,,,,,,,42082.0,,,42082.0,,,,,,,,,,,,,,,,
InterestPaid,,,,,,,,,,44590.0,0.0,20562.0,,40789.0,,98095.0,,,,,,,,44.0,,,44.0,4956.0,12531.0,,,,,,,918048.0,,,,819.0,,9375.0,,
IncomeTaxesPaid,,,,,,,,,,,0.0,,,,,,,,,,,,600.0,,,,0.0,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperations,,,,,,,,,,,,,,,,,,,,-503475.0,-1670813.0,61986.0,,,,121693.0,-27304.0,,,,,,,,,,3796348.0,,-471195.0,-4315032.0,,,-641720.0,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,,,-2556.0,-6169.0,-10806.0,,,-99501.0,-2556.0,-8974.0,,143608.0,,127478.0,-13101.0,11380.0,,,-220346.0,-208253.0,,,,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,,,,,,,,,,,-6367.0,,,11250.0,,12190.0,118492.0,4393.0,,,-570975.0,270822.0,,,,1919532.0,270822.0,,,137054.0,5750.0,282569.0,-20545.0,
IncreaseDecreaseInRestrictedCash,,,,,,,,,,,,,,,,,,-47984.0,-47984.0,-41501.0,,-47984.0,139625.0,69250.0,,13730.0,0.0,6270.0,,,,,,,,,,,,,,,,
ProceedsFromRelatedPartyDebt,,,,,,,,,,120252.0,352449.0,914552.0,1124925.0,439238.0,352449.0,314479.0,,,,,600000.0,378668.0,1310924.0,34000.0,6700.0,15816.0,,,,,,,290500.0,,15300.0,1957658.0,38301.0,,,49820.0,,48632.0,312762.0,10478.0
IncreaseDecreaseInCommissionsReceivable,,,,,,,,,,,9955.0,19804.0,25298.0,,,43784.0,6519.0,23561.0,30035.0,-10692.0,,6675.0,9761.0,1670.0,,8612.0,6675.0,4094.0,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsReceivableAndOtherOperatingAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,19366.0,19366.0,,,,,,,,,,,,,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-103805.0,
DryHoleExpense,,,,,,,,,,,,,,,,,,,,,,,,,1360119.0,1360119.0,0.0,,,,,,,,,,,,,,,,,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,,,,,,,,,,,72898.0,281708.0,,,,,,,,,,,,,,,,,
AssetImpairmentCharges,,,,,,,,,,,,,,,,,,,,,,,,27368.0,,7814365.0,0.0,,,,,,,,,,,,,,,732948.0,,
IncreaseDecreaseInDueToRelatedParties,,,,,,,,,,,98789.0,279078.0,317574.0,,,236048.0,98789.0,317574.0,-224715.0,-155932.0,,-245762.0,-229152.0,-155932.0,,-118574.0,106594.0,154391.0,,,,,,,,,,,,79470.0,174750.0,-1000000.0,,
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,,,-3976.0,3148.0,-1218.0,,,-3738.0,,-675.0,-3738.0,,635.0,,,,,945.0,-32.0,,,,,,,,,,,,,,,35433.0,-8992.0,16112.0
NonCashContributionExpensesShareHolders,,,,,,,,,,,,,,,,,,,,,,,,,,,200000.0,,,,,,,,,,,,,,,,,
NonCashContributionExpenseRelatedParty,,,,,,,,,,,,,,,,,,,,,,,,,,,750000.0,,,,,,,,,,,,,,,,,
GainLossOnDispositionOfAssets1,,,,,,,,,,,,,,,,,,,,,-872.0,,,,,44100.0,0.0,,,,,,,,,,,,,,,44100.0,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,,,-350.0,-20531.0,-11189.0,,,-21333.0,-12705.0,-24971.0,-29940.0,87163.0,,-4500.0,-7500.0,-9500.0,,-110414.0,-40931.0,-103288.0,,,,,,,,-233884.0,,,,-315495.0,,,,
NetCashProvidedByUsedInDiscontinuedOperations,,,,,,,,,,,-350.0,-20531.0,-46697.0,,,-24971.0,-12705.0,-11189.0,-54650.0,-106559.0,,-112020.0,-7500.0,-9500.0,,30990.0,26762.0,26629.0,,,,,,,,,,,,,,,,
PaymentsToAcquireOilAndGasProperty,,,,,,,,,,,,,0.0,,,,175000.0,,,,,169000.0,140000.0,,,289864.0,1663575.0,,,,,,,,,,,,,,,315566.0,,
CommonStockRedeemedForDivestiture,,,,,,,,,,,,,,,,,,,,,,,,207335.0,,,0.0,0.0,,,,,,,,,,,,,,,,
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,,,,,,,,,,,,,,,,,,,,-905171.0,,-1233162.0,-905171.0,,,,,,,,,,,,,,,425000.0,,
InterestExpense,,,,,,,,,,,,,,,,,,5036.0,16332.0,,,110472.0,-905601.0,,,110472.0,0.0,66162.0,,,,,,,,,,,,,,,,
PaymentsForProceedsFromOtherInvestingActivities,,,,,,,,,,,,,,,,,,,,,,,,,11586.0,,-39132.0,,,,,250000.0,,1659.0,1659.0,,,,,,,38.0,,
ProceedsFromSaleOfProductiveAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
StockIssued1,,,,,,,,,,,,,100.0,,,,17250.0,,,,,199309.0,,95740.0,,,2000000.0,2000000.0,,,,,,,,,,,,,0.0,,,11000.0
NotesIssued1,,,,,,,,,,,,,0.0,,60000.0,,175000.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,45000.0,,
DebtConversionOriginalDebtAmount1,,,,,,,,,,,,,17982.0,,,,,,,,,,,,,20000.0,20000.0,,,,,,,,,,,24106.0,,,,,,
TransferOfInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,393795.0,0.0,,,,,,,,,,,,,,,,,
NoncashOrPartNoncashAcquisitionOtherLiabilitiesAssumed1,,,,,,,,,,,,,,,,,,,,,,,,,,,53038.0,,,,,,,,,,,,,,,,,
ImpairmentOfFarmoutExpenses,,,,,,,,,,,3500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UnearnedPremium,,,,,,,,,,112880.0,-43618.0,64696.0,59399.0,5490.0,-105562.0,18743.0,,,,,,,-123285.0,,,,,,,,,,35911.0,,,455888.0,,,,,,,,
StockOptionPlanExpense,,,,,,,,,,370.0,14562.0,15672.0,16782.0,370.0,9521.0,0.0,,,,,,,,470900.0,,,,,,,,,,,,,,,,,,,,
StockIssuedForDebt,,,,,,,,,,20215.0,45137.0,55616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AmortizationOfFinancingCosts,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,800.0,,,,,,6500.0,
IncreaseDecreaseInDueToOfficersAndStockholders,,,,,,,,,,,0.0,500.0,0.0,,,,210000.0,,,,,210000.0,210000.0,425000.0,,,,,,,,,,,,,,,,,,,,
StockIssuedForDividend,,,,,,,,,,10560.0,126366.0,10920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AccretionOfPreferredStockDividends,,,,,,,,,,85101.0,87825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProvisionForLoanLeaseAndOtherLosses,,,,,,,,,,42326.0,92711.0,50386.0,210977.0,60413.0,103596.0,153982.0,,,,,,,181414.0,,,,,,,,,,78115.0,,,590142.0,,,,,,,,
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,,,,,,,,17207.0,24276.0,61300.0,81247.0,16725.0,37791.0,61300.0,,,,,,,81247.0,,,,,,,,,,93887.0,,,158488.0,,,,,,,,
ShareholderPaymentOfAccountsPayable,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DepreciationNonproduction,,,,,,,,,,,2693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromIssuanceOrSaleOfEquity,,,,,,,,,641707.0,,0.0,,210100.0,,,,457500.0,,,,,,,,,,,,,,,,,,,8000000.0,,,,,,,,
AccretionOfDiscountsInvestments,,,,,,,,,,0.0,-744.0,-7810.0,-104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RealizedGainLossOnInvestments,,,,,,,,,,-51018.0,-14719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GainLossOnDispositionOfProperty,,,,,,,,,,0.0,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInOtherOperatingAssets,,,,,,,,,,-31901.0,6753.0,900.0,-74384.0,6840.0,-577.0,-11985.0,,,,,,,-74384.0,,,,,,,,,,7088.0,78815.0,,,,4500.0,,1300.0,5300.0,-4000.0,500.0,
IncreaseDecreaseInPremiumsReceivable,,,,,,,,,,-39410.0,-7793.0,32194.0,-24236.0,-15520.0,261458.0,64871.0,,,,,,,-117761.0,,,,,,,,,,30765.0,,,566273.0,,,,,,,,
IncreaseDecreaseInAccruedInvestmentIncomeReceivable,,,,,,,,,,1260.0,-15771.0,10084.0,-5831.0,8381.0,-19026.0,2694.0,,,,,,,-5831.0,,,,,,,,,,-11353.0,,,-11353.0,,,,,,,,
IncreaseDecreaseInDeferredPolicyAcquisitionCosts,,,,,,,,,,-931.0,60892.0,-46857.0,-62258.0,-3266.0,15155.0,34983.0,,,,,,,28513.0,,,,,,,,,,-2369.0,,,-195726.0,,,,,,,,
IssuanceOfCommonStockForOilLease,,,,,,,,,,,0.0,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInShortTermInvestments,,,,,,,,,,91441.0,-86024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquireAvailableForSaleSecuritiesDebt,,,,,,,,,,-434412.0,-1797178.0,-2623919.0,-1883581.0,-586104.0,-586104.0,-1137860.0,,,,,,,-1883581.0,,,,,,,,,,-2049954.0,,,1775947.0,,,,,,,,
PaymentsToAcquireMortgageBackedSecuritiesMBSCategorizedAsAvailableForSale,,,,,,,,,,-345298.0,-737995.0,-737995.0,-1976383.0,-232628.0,-345353.0,-599797.0,,,,,,,-634182.0,,,,,,,,,,-1295427.0,,,0.0,,,,,,,,
PaymentsToAcquireAvailableForSaleSecuritiesEquity,,,,,,,,,,-133964.0,0.0,0.0,-247056.0,-10113.0,-146987.0,-220815.0,,,,,,,-365751.0,,,,,,,,,,-1266618.0,,,2667650.0,,,,,,,,
ProceedsFromSaleOfAvailableForSaleSecurities,,,,,,,,,,840684.0,21864.0,64297.0,1757718.0,113939.0,213341.0,781883.0,,,,,,,1974793.0,,,,,,,,,,2118596.0,,,1910797.0,,,,,,,,
ProceedsFromSaleOfMortgageBackedSecuritiesMBSCategorizedAsAvailableForSale,,,,,,,,,,754713.0,264307.0,677233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PrivatePlacementSubscriptionsReceivedReclassifiedToEquity,,,,,,,,,,,501590.0,501590.0,501590.0,,,501590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PurchaseCollectionAccruedInterest,,,,,,,,,,,-2335.0,1008.0,-749.0,,,,,,,,,,-2737.0,,,,,,,,,,-9973.0,,,-125201.0,,,,,,,,
CommonStockIssuedToSettleLiabilities,,,,,,,,,,,0.0,279125.0,0.0,,,,,,54100.0,0.0,,54100.0,104690.0,0.0,,0.0,,,,,,,,,,,,,,,,,,
RepaymentsOfRelatedPartyDebt,,,,,,,,,,-320308.0,-197512.0,-914227.0,-1152006.0,-237986.0,-821790.0,-790589.0,,,,,,200000.0,1429190.0,,,7500.0,,-4630.0,,,,,855019.0,,,971207.0,,,18874.0,,,44939.0,336620.0,0.0
ProceedsFromIssuanceOfLongTermDebt,,,,,,,,,,304500.0,411500.0,,,,,,,,,,1125000.0,,,,,,,,,,,,,,,,,,,,,,,
RepaymentsOfLongTermDebt,,,,,,,,,-6508.0,-196712.0,-708925.0,52920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdditionalConsiderationPaidForIssuanceOfDebt,,,,,,,,,,20215.0,24922.0,89066.0,70347.0,20215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProfitLoss,,,,,,,,,,,,-401982.0,-237659.0,-127041.0,-632320.0,-464199.0,-827295.0,,,,,,-1956697.0,,,-44455.0,,,,,,,-1956697.0,,,-1007197.0,,,,,,486774.0,-3801769.0,216086.0
PaidInKindInterest,,,,,,,,,,,,,,,,,25000.0,,,,,125960.0,40123.0,208481.0,,,,,,,,,,,,,,,,,,,,23162.0
GainLossRelatedToLitigationSettlement,,,,,,,,,,,,,,,,,,,22000.0,,,,,,,,,,,,,,,,,,,,,,,,,
StockIssuedDuringPeriodValueIssuedForServices,,,,,,,,,,,,,,12000.0,12000.0,12000.0,32000.0,,,,,,,,,,,7700.0,,,,,,,,,,,,,,,,
GoodwillImpairmentLoss,,,,,,,,,,,,,0.0,,,,,,,,,,,,,737284.0,,,,,,,,,,,,,,,,,,
