,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
DiscontinuedOperationAmountOfOtherIncomeLossFromDispositionOfDiscontinuedOperationNetOfTax,,,,,,,,,,,72000.0,72000.0,72000.0,0.0,0.0,72000.0,72000.0,0.0,72000.0,0.0,72000.0,,,,,,,,,,,,,,,,,,,,,,
OptionsIssuedForMiningExpenses,,,,,,,,,,-4396523.0,-4396523.0,0.0,-4940000.0,4940000.0,4940000.0,4940000.0,,4940000.0,4940000.0,4940000.0,,,,,,,,,,,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebtBeforeWriteOffOfDeferredDebtIssuanceCost,,,,,,,,,,,0.0,0.0,5563130.0,0.0,-29165.0,,,5563130.0,,,,,,,,,,,,,,,,,,,,,,,,,
DepletionOfOilAndGasProperties,,,,,,,,,,,121136.0,,172763.0,,117598.0,104504.0,172982.0,,343062.0,155816.0,127549.0,103828.0,80841.0,79514.0,183001.0,,419471.0,9451.0,15369.0,,604591.0,,,,,,,,,,,,
ReversalOfSharesForServices,,,,,,,,,-40000.0,-40000.0,0.0,,,,,0.0,,0.0,-140000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
IssuanceOfDeferredStockUnitsForServicesRendered,,,,,,,,,65000.0,78750.0,105000.0,26250.0,52500.0,78750.0,105000.0,26250.0,52500.0,78750.0,,,,,,,,,,,,,,,,,,,,,,,,,
GainLossOnSaleOfInvestments,,,,,,,,,,0.0,-215190.0,79129.0,,0.0,79129.0,1040000.0,-6943.0,-14152.0,-16521.0,,,,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,,
GainLossOnSaleAndDefaultOfMineralProperties,,,,,,,,,50000.0,410000.0,-128666.0,281334.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IssuanceAndAmortizationOfCommonStockForServices,,,,,,,,,271060.0,18254197.0,596032.0,0.0,0.0,0.0,,,,,,18740537.0,3333.0,8667.0,,,,,,,,,,,,,,,,,,,,,
ImpairmentOfRealEstate,,,,,,,,,55000.0,77492074.0,5000.0,0.0,3369.0,0.0,0.0,0.0,77492074.0,0.0,77492074.0,0.0,0.0,0.0,77492074.0,,,,,0.0,235000.0,,,0.0,,,,52129.0,,,,,,,
IssuanceOfSharesUnderOptionAgreements,,,,,,,,,,,18186.0,18186.0,21936.0,21936.0,0.0,,21936.0,,,,,,,,,,,,,,,,,,,,,,,,,,
LossOnSalesOfUnprovedInterestNet,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProfitOnLiquidationOfOperatingSegment,,,,,,,,,,3994000.0,3994000.0,3994000.0,3994000.0,3994000.0,3994000.0,3994000.0,3994000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
WriteDownOfMineralPropertyCosts,,,,,,,,,,0.0,348221.0,348221.0,348221.0,0.0,0.0,348221.0,348221.0,0.0,348221.0,,,,,,,,,,,,,,,,,,,,,,,,
UnrealizedGainLossOnForeignCurrencyDerivativesNetBeforeTax,,,,,,,,,-176593.0,,-536553.0,192296.0,11000.0,359000.0,-187370.0,567229.0,358088.0,-4372.0,137790.0,179506.0,0.0,-4372.0,137790.0,581102.0,497411.0,,,,,,,,,,,,,,,,,,
UnrealizedGainLossOnHybridInstrumentNet,,,,,,,,,,-25955.0,0.0,0.0,,-49681.0,0.0,0.0,,0.0,,,,-49681.0,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInOperatingCapital,,,,,,,,,176875.0,132304.0,-828562.0,45578.0,-9720000.0,-7462000.0,36350000.0,62981.0,9383000.0,1921000.0,10428000.0,194.0,191000.0,1862000.0,16348000.0,971420.0,38644000.0,683000.0,1046000.0,-350148.0,2000.0,28965000.0,1046000.0,351000.0,30648000.0,-836000.0,-2203000.0,233000.0,25319000.0,225404.0,-2889000.0,-75000.0,-270000.0,-20654000.0,31989000.0
PaymentsForSoftware,,,,,,,,,,10945.0,10945.0,0.0,,0.0,,,,0.0,,0.0,,,-14678.0,,,,0.0,,,,,,,,,,,,,,,27761.0,61390.0
GainLossOnSaleOfSecuritiesNet,,,,,,,,,,4635.0,0.0,0.0,0.0,19544.0,0.0,79129.0,0.0,0.0,0.0,4468.0,0.0,-407000.0,,,,,,,,58200.0,12599.0,12317.0,,12316.0,0.0,0.0,,,,,,,
GainLossOnInvestments,,,,,,,,,,92269.0,0.0,-752489.0,-4964.0,0.0,-752489.0,0.0,-411430.0,6000.0,0.0,0.0,-10446.0,0.0,-27967.0,0.0,283275.0,0.0,0.0,0.0,,-488.0,0.0,-89000.0,0.0,0.0,-1214000.0,0.0,56703834.0,-15836000.0,0.0,-530000.0,-732000.0,,
InterestOnConvertibleDebtNetOfTax,,,,,,,,,,0.0,-82677.0,0.0,2077028.0,3580167.0,,-145060.0,-100000.0,-430266.0,-79752.0,-79752.0,0.0,-145060.0,-145060.0,-79395.0,0.0,-79752.0,,-1864462.0,,,,-26809.0,0.0,0.0,-285780.0,-26809.0,133000.0,468000.0,,,,,
GainLossOnDerivativeInstrumentsNetPretax,,,,,,,,,6711.0,266575.0,333544.0,4425628.0,0.0,7897.0,0.0,805565.0,669329.0,173.0,101651.0,1986063.0,-92339.0,-291996.0,145375.0,4750300.0,-168164.0,10187277.0,8519295.0,3286340.0,4306.0,3823590.0,1379.0,0.0,0.0,0.0,-18352.0,3119.0,,,,288.0,288.0,,288.0
StockOptionPlanExpense,,,,,,,,,7941.0,2154457.0,185202.0,55949.0,103695.0,97500.0,72894.0,0.0,0.0,0.0,316000.0,0.0,0.0,97500.0,0.0,5082.0,316000.0,316000.0,316000.0,486592.0,,,,,,,,,,,,,,,
GoodwillImpairmentLoss,,,,,,,,,1836000.0,0.0,0.0,41771000.0,37378000.0,398897.0,3274109.0,26832255.0,,0.0,5163739.0,0.0,,3552000.0,10975000.0,0.0,,,,0.0,,,17540000.0,7015727.0,,,0.0,19865000.0,20917000.0,25000.0,0.0,,,,
IncreaseDecreaseInNotesReceivableRelatedParties,,,,,,,,,,,-1245.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
LossOnSaleOfInvestments,,,,,,,,,,57071.0,0.0,0.0,0.0,57071.0,25000.0,25000.0,57071.0,0.0,0.0,57071.0,25000.0,57071.0,57071.0,,,,,1000000.0,,,,0.0,,,,,,,,,4614000.0,,4614000.0
AdjustmentToAssetRetirementObligationOnChangesInCashFlowEstimates,,,,,,,,,,223583.0,223583.0,0.0,0.0,223583.0,223583.0,0.0,0.0,99220.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,
SharesForDebt,,,,,,,,,831144.0,1261092.0,1249919.0,0.0,0.0,0.0,,,,831144.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
DonatedCapital,,,,,,,,,,234606.0,0.0,77881.0,0.0,95881.0,,109000.0,109000.0,1731.0,4500.0,195974.0,,,,,,,,,,,,,,,,,,,,,,,
InventoryWriteDown,,,,,,,,,,0.0,-5514.0,-179606.0,3322712.0,0.0,111916.0,-179606.0,0.0,0.0,3030000.0,4642262.0,0.0,0.0,59584817.0,1053.0,8752543.0,0.0,142125.0,1053.0,-66984.0,0.0,3424.0,0.0,213293.0,1359182.0,68611.0,501.0,730446.0,12169000.0,13561.0,,,,1298000.0
MineralPropertyOptionPayments,,,,,,,,,,,-156017.0,0.0,0.0,0.0,-156017.0,485822.0,1948597.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
ImpairmentOfOilAndGasProperties,,,,,,,,,2830409.0,2924647.0,1.0,119487.0,3735683.0,3735683.0,0.0,0.0,3748664.0,0.0,0.0,0.0,0.0,2921511.0,0.0,0.0,19293.0,0.0,,,,,898861.0,,,,443935.0,,0.0,,,12500.0,12500.0,,
NonCashGainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IssuanceAndAmortizationOfWarrantsForServices,,,,,,,,,,0.0,2629730.0,0.0,0.0,0.0,,,,,,2629730.0,40300.0,0.0,,,,,,,,,,,,,,,,,,,,,
UncollectibleStockSubscription,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChangeInFairValueOfInvestmentInAssociate,,,,,,,,,,10700583.0,-42891819.0,15769820.0,-2792540.0,-6671220.0,-13321042.0,-7148060.0,-2792540.0,-17691882.0,3719716.0,1619803.0,-14881681.0,-4370840.0,665378.0,-18572.0,0.0,-18572.0,,,,,,,,,,,,,,,,,
ImpairmentOfOngoingProject,,,,,,,,,11143091.0,281065.0,0.0,441612.0,11593253.0,11593253.0,11593253.0,11600053.0,11690053.0,11690053.0,0.0,15350.0,11690053.0,90000.0,0.0,90000.0,201250.0,,0.0,0.0,0.0,,,0.0,250000.0,,,,,,,,,,
GainLossOnDispositionOfAssets,,,,,,,,,1422.0,-1481.0,0.0,-28959.0,0.0,1188.0,-828296.0,247796.0,0.0,-1369461.0,2145.0,4249.0,260058.0,-2553.0,-51000.0,,-7000.0,13.0,-250000.0,,,-788782.0,0.0,0.0,0.0,,-682000.0,0.0,,,,,,,
GainOnSettlementOfAccountsPayable,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInDepositOtherAssets,,,,,,,,,0.0,11435.0,0.0,0.0,8435.0,-4129734.0,953.0,0.0,0.0,31136.0,10986.0,3990958.0,7592656.0,-2576.0,17169687.0,,-7990705.0,-2576.0,606979.0,,6821.0,-1101.0,1552326.0,211.0,220.0,280.0,8399.0,602.0,280.0,1189.0,336.0,265.0,-807.0,-1412.0,265.0
IncomeLossFromEquityMethodInvestments,,,,,,,-111000.0,-509000.0,,14000.0,77893.0,-509000.0,0.0,-16894.0,-16894.0,-17744.0,-339000.0,-24523.0,-1518789.0,202000.0,-29540.0,18053.0,150000.0,-15805.0,-92992.0,18053.0,-54308.0,233000.0,-37349.0,659000.0,74000.0,45000.0,2664000.0,2075000.0,3429000.0,-89000.0,639000.0,126000.0,0.0,,1482000.0,,
AccretionOfBeneficialConversionFeature,,,,,,,,,,0.0,-325302.0,0.0,,,,,,,,,,,,,-176488.0,0.0,-176488.0,0.0,,,,,,,,,,,,,,,
ConsultingExpenseRecordedInExchangeForSharesToBeIssued,,,,,,,,,,0.0,236337.0,0.0,0.0,0.0,0.0,236337.0,0.0,236337.0,0.0,236337.0,236337.0,,,,,,,,,,,,,,,,,,,,,,
PaymentsForProceedsFromLoansReceivable,,,,,,,,,,,50142.0,428718.0,458718.0,,,,,,,,,,,-168088.0,-296.0,0.0,,,,,,,0.0,,,,,,,,,,
ProvisionForDoubtfulAccounts,,,,,,,,,,128498.0,2125.0,0.0,0.0,444454.0,563848.0,-40660.0,200000.0,9341595.0,0.0,68212239.0,-270722.0,7646.0,27882120.0,22072.0,223.0,59314.0,46687.0,1146575.0,0.0,60242.0,0.0,0.0,0.0,60242.0,1013000.0,2779497.0,176961.0,12790000.0,31638000.0,578024.0,512000.0,0.0,9499.0
IncreaseDecreaseInNotesPayableCurrent,,,,,,,,,,0.0,505149.0,,,,0.0,0.0,,-195274.0,-232374.0,,,,,,,,,,-79776.0,,-8480858.0,,,,,,,,,,,,
ImpairmentOfInvestments,,,,,,,,,-75000.0,0.0,10980.0,120950.0,0.0,4155642.0,153676.0,-94058.0,0.0,55931.0,21495000.0,253841.0,1000000.0,0.0,0.0,722889.0,140000.0,,86400.0,0.0,140000.0,,,,,,,1.0,,,,,,,
ShareBasedGoodsAndNonemployeeServicesTransactionCashFlowEffects,,,,,,,,,,311332.0,0.0,420032.0,,162400.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DonatedServicesAndExpenses,,,,,,,,,,14420.0,14420.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GainLossOnSaleOfOtherInvestments,,,,,,,,,,-752489.0,-752489.0,-757489.0,0.0,0.0,-757489.0,-752489.0,-752489.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,61185851.0,,41145631.0,,,,
GainsLossesOnSalesOfOtherAssets,,,,,,,,,-1411.0,0.0,-1411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SharesIssuedForMineralProperty,,,,,,,,,,142460.0,0.0,142460.0,,,48750.0,,-48750.0,,,,,,,,,,,,,,,,,7000.0,,,0.0,,,,7000.0,,
NonCashPaymentOfCompensation,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IssuanceAndAmortizationOfStockOptionsForServices,,,,,,,,,,0.0,222817.0,0.0,222817.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
WriteDownOfManagementFee,,,,,,,,,,88170.0,-88170.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AccretionExpense,,,,,,,,,168600.0,75000.0,0.0,0.0,623870.0,54176.0,799963.0,0.0,1275811.0,0.0,33667.0,21831.0,2174661.0,0.0,3111452.0,10761.0,45041.0,2282985.0,0.0,182448.0,73519.0,120751.0,,,,57000.0,236000.0,73000.0,57000.0,5952000.0,28748.0,202202.0,29991.0,396000.0,293000.0
AssetRetirementObligationAccretionExpense,,,,,,,,,6651.0,7519.0,7807.0,3105.0,41532.0,2731.0,8960.0,5381.0,49061.0,11019.0,49899.0,59656.0,238000.0,8698.0,16000.0,168145.0,10735.0,,48634.0,7806.0,4019.0,,15984.0,,,,1055000.0,,,,,,,,
DebtInstrumentConvertibleBeneficialConversionFeature,,,,,,,,,77800.0,0.0,-10000.0,146205.0,-67625.0,118500.0,118500.0,,,,,,,,3420.0,,,,,,,,,,,,,,,,,,,,
RelatedPartyTransactionAmountsOfTransaction,,,,,,,,,,,274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,,,,,,,,-328601.0,-8442306.0,1213913.0,402276.0,-328601.0,-7705669.0,-6426362.0,-5814413.0,1180898.0,-2748999.0,5385660.0,-2748999.0,0.0,0.0,1030431.0,-101749.0,1634681.0,,,,,,,,,,,,,,,,,,
DeferredCompensationArrangementWithIndividualCompensationExpense,,,,,,,,,58582.0,74832.0,79832.0,60334.0,58582.0,0.0,,0.0,,162602.0,91875.0,-91875.0,123125.0,8402.0,143125.0,24932.0,123125.0,0.0,2009.0,,,,,,,,,,,,,,,,
InterestExpenseOther,,,,,,,,,,44105.0,414246.0,59719.0,23322.0,4559.0,90220.0,85953.0,98579.0,0.0,668933.0,274.0,508637.0,218533.0,40383.0,-5495.0,40383.0,2347.0,,33788.0,59472.0,129955.0,182448.0,182448.0,140182.0,120751.0,,337161.0,140182.0,154097.0,1204.0,,148562.0,,
RestructuringCharges,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110019.0,0.0,-110019.0,-110019.0,,,,,,,,,,,,,,,,,,,,,,
NonCashMineralPropertyOptionPayment,,,,,,,,,,37500.0,0.0,0.0,37500.0,37500.0,0.0,0.0,37500.0,0.0,0.0,0.0,37500.0,,,,,,,,,,,,,,,,,,,,,,
IssuanceOfNotesForServicesAndClaims,,,,,,,,,,0.0,90402.0,90402.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherDepreciationAndAmortization,,,,,,,,113000.0,1100000.0,116000.0,1728000.0,1841000.0,389000.0,20696.0,199000.0,515000.0,-538384.0,10136.0,509000.0,379961.0,0.0,69000.0,52000.0,36000.0,267681.0,34000.0,52000.0,103000.0,,,,705024.0,,,,,,,,,,,
GainLossOnSaleOfOilAndGasProperty,,,,,,,,,0.0,-1438396.0,161029.0,0.0,161029.0,0.0,0.0,522976.0,0.0,0.0,0.0,0.0,0.0,0.0,522976.0,,,,,,,,,,,,,,,,,,,,
AmortizationOfDeferredCharges,,,,,,,,,1768.0,2133.0,335312.0,73738.0,7236.0,12241.0,0.0,56000.0,778722.0,377825.0,129176.0,14000.0,419825.0,224038.0,20657.0,14000.0,28000.0,42000.0,,56000.0,,,,,,,,,,,,,,,
